,hsa-mir-202,hsa-mir-185,hsa-mir-10a,hsa-mir-580,hsa-mir-4434,hsa-mir-3653,hsa-mir-5690,hsa-mir-381,hsa-mir-1270,hsa-mir-548t
hsa-mir-202,0.931101027100247,0.016115656807147247,-0.015464338191762989,0.03368178472404257,-0.018707992439662875,0.0008031041194583316,0.0530840641588782,-0.0019322990603371684,0.02282901474629679,-0.02564050871337707
hsa-mir-185,0.016115656807147247,0.9721610047521008,-0.09961873812786376,0.311194808865949,-0.056001108479047865,0.088097335819928,0.1360687092499484,0.06530563931900808,0.13163203150944647,0.1659339558907511
hsa-mir-10a,-0.015464338191762989,-0.09961873812786376,1.1297832505984478,-0.01125004301897771,-0.026407413401865237,-0.06801357074844673,-0.05563801757557643,0.03527192426783423,0.017867962633974974,-0.010902759389286802
hsa-mir-580,0.03368178472404257,0.311194808865949,-0.01125004301897771,1.010148766202165,-0.0182386737203837,0.013461115720689868,0.14310855911810724,0.2214705496636098,0.06579780904285215,0.1409073419136459
hsa-mir-4434,-0.018707992439662875,-0.056001108479047865,-0.026407413401865237,-0.0182386737203837,1.1060582945266035,0.0926625487838464,0.061299022115701686,-0.030005961508043456,-0.0019935956460665825,-0.04922542408799617
hsa-mir-3653,0.0008031041194583316,0.088097335819928,-0.06801357074844673,0.013461115720689868,0.0926625487838464,1.0549871641554946,0.09680448188587577,-0.060432477357436364,0.1778258615784866,-0.03818313101742906
hsa-mir-5690,0.0530840641588782,0.1360687092499484,-0.05563801757557643,0.14310855911810724,0.061299022115701686,0.09680448188587577,0.8718480504590572,-0.0667015570657148,0.003900230094344352,0.029095059294757114
hsa-mir-381,-0.0019322990603371684,0.06530563931900808,0.03527192426783423,0.2214705496636098,-0.030005961508043456,-0.060432477357436364,-0.0667015570657148,1.1339827835826022,-0.029814048728747256,0.007994659578411311
hsa-mir-1270,0.02282901474629679,0.13163203150944647,0.017867962633974974,0.06579780904285215,-0.0019935956460665825,0.1778258615784866,0.003900230094344352,-0.029814048728747256,1.1098880258745327,0.019734805989811015
hsa-mir-548t,-0.02564050871337707,0.1659339558907511,-0.010902759389286802,0.1409073419136459,-0.04922542408799617,-0.03818313101742906,0.029095059294757114,0.007994659578411311,0.019734805989811015,0.9907286894546601
