,hsa-mir-192,hsa-mir-5690,hsa-mir-1304,hsa-mir-508,hsa-mir-509-1,hsa-mir-3662,hsa-mir-2114,hsa-mir-194-1,hsa-mir-514a-1,hsa-mir-1911
hsa-mir-192,1.0668262773983446,-0.04078767892845929,-0.018929295707040064,-0.03446085561699932,-0.03421839487991459,-0.04001044941042287,-0.0056207576968379655,0.9134862258436341,-0.03480667377767715,-0.011508431295006923
hsa-mir-5690,-0.04078767892845929,0.8718480504590572,-0.002395727683522703,-0.012737926418273053,-0.009881397772349757,-0.012835570777103377,-0.011387012822764345,-0.05828127699191637,-0.005751668026252595,-0.026881015183250458
hsa-mir-1304,-0.018929295707040064,-0.002395727683522703,1.1992887375692736,-0.027104669899131947,-0.02240537312845924,0.0306082844086827,-0.03718597488662838,-0.011718841839667787,-0.027097116038857554,-0.0012314327275538084
hsa-mir-508,-0.03446085561699932,-0.012737926418273053,-0.027104669899131947,0.9150538073682813,0.8833357718770264,0.12400298839724534,0.019141315694385295,-0.035602282699731425,0.8910818884308359,-0.006491584562203561
hsa-mir-509-1,-0.03421839487991459,-0.009881397772349757,-0.02240537312845924,0.8833357718770264,0.9076594294670054,0.11241191255171265,0.03648389987206386,-0.03664561048994398,0.8678819124784657,-0.005123884778116982
hsa-mir-3662,-0.04001044941042287,-0.012835570777103377,0.0306082844086827,0.12400298839724534,0.11241191255171265,1.099454273548883,-0.048844589912262835,-0.0609200193707108,0.11677538026466217,0.05071120379649023
hsa-mir-2114,-0.0056207576968379655,-0.011387012822764345,-0.03718597488662838,0.019141315694385295,0.03648389987206386,-0.048844589912262835,1.1580983197804697,-0.024348312004457594,0.018565946965369624,0.01292607681546821
hsa-mir-194-1,0.9134862258436341,-0.05828127699191637,-0.011718841839667787,-0.035602282699731425,-0.03664561048994398,-0.0609200193707108,-0.024348312004457594,0.9977653602722748,-0.03589580354178699,-0.01227588379564069
hsa-mir-514a-1,-0.03480667377767715,-0.005751668026252595,-0.027097116038857554,0.8910818884308359,0.8678819124784657,0.11677538026466217,0.018565946965369624,-0.03589580354178699,0.9070257971145723,-0.006692195317758012
hsa-mir-1911,-0.011508431295006923,-0.026881015183250458,-0.0012314327275538084,-0.006491584562203561,-0.005123884778116982,0.05071120379649023,0.01292607681546821,-0.01227588379564069,-0.006692195317758012,1.2455957336012773
