,hsa-mir-1304,hsa-mir-192,hsa-mir-5690,hsa-mir-509-1,hsa-mir-4461,hsa-mir-514a-1,hsa-mir-508,hsa-mir-194-2,hsa-mir-194-1,hsa-mir-1269a
hsa-mir-1304,1.1754978660448565,-0.027725700643174665,-0.02369006677900441,-0.021976167550353445,0.06657235101566489,-0.027479958372536396,-0.02566853764770131,-0.020980039487077325,-0.021039107771075555,-0.055410388519362024
hsa-mir-192,-0.027725700643174665,1.1012027359431882,-0.027977495434786417,-0.027456807781375957,0.05632967041138127,-0.030469504490913252,-0.03026026053257624,0.9554371118099895,0.9584026960025137,-0.03995576866772081
hsa-mir-5690,-0.02369006677900441,-0.027977495434786417,0.9691887484085375,-0.004578162646856174,-0.011154965488794563,0.008023174944296158,-0.0024903617660044395,-0.05596265805438438,-0.06106630273788726,0.03542082785243384
hsa-mir-509-1,-0.021976167550353445,-0.027456807781375957,-0.004578162646856174,1.1103920759481787,0.03171993917758594,1.037972207491552,1.0699980813138599,-0.026835139206248103,-0.025574118757609718,0.057802037640227316
hsa-mir-4461,0.06657235101566489,0.05632967041138127,-0.011154965488794563,0.03171993917758594,1.1896948153330447,0.01134809169317138,0.01978891140981411,-0.017819206433563054,-0.017086084820608985,0.06865274913866874
hsa-mir-514a-1,-0.027479958372536396,-0.030469504490913252,0.008023174944296158,1.037972207491552,0.01134809169317138,1.0851622753888774,1.0890572644575482,-0.03065589751873199,-0.029482492371351,0.04081984667757431
hsa-mir-508,-0.02566853764770131,-0.03026026053257624,-0.0024903617660044395,1.0699980813138599,0.01978891140981411,1.0890572644575482,1.1276504941524272,-0.031147864080612177,-0.029899455782823953,0.049665044698343354
hsa-mir-194-2,-0.020980039487077325,0.9554371118099895,-0.05596265805438438,-0.026835139206248103,-0.017819206433563054,-0.03065589751873199,-0.031147864080612177,1.0641638774813864,1.057260241056394,-0.05695313221338634
hsa-mir-194-1,-0.021039107771075555,0.9584026960025137,-0.06106630273788726,-0.025574118757609718,-0.017086084820608985,-0.029482492371351,-0.029899455782823953,1.057260241056394,1.062402385903657,-0.0561454866927666
hsa-mir-1269a,-0.055410388519362024,-0.03995576866772081,0.03542082785243384,0.057802037640227316,0.06865274913866874,0.04081984667757431,0.049665044698343354,-0.05695313221338634,-0.0561454866927666,0.8435833485207445
