,hsa-mir-1304,hsa-mir-5690,hsa-mir-509-1,hsa-mir-192,hsa-mir-1911,hsa-mir-1293,hsa-mir-2114,hsa-mir-509-3,hsa-mir-3662,hsa-mir-194-1
hsa-mir-1304,1.1245688782072099,-0.019201454199957103,-0.027979690860791554,-0.020181205532976757,-0.0004461411757188859,0.17386143802212894,-0.03471473459048811,-0.03142247090469167,0.03176698437338519,-0.015977789543094267
hsa-mir-5690,-0.019201454199957103,1.0187526815227594,0.019741957755518943,-0.020034365528549952,-0.02502186448226704,0.07261340880201857,0.0033716990844047923,0.02165487320468269,0.00804516958715627,-0.04346493907967867
hsa-mir-509-1,-0.027979690860791554,0.019741957755518943,1.088652167691439,-0.024685990370395223,-0.0023307886643827787,0.03408232117093742,0.08076356049923603,1.0855771150591738,0.1159659849010601,-0.02328942265367199
hsa-mir-192,-0.020181205532976757,-0.020034365528549952,-0.024685990370395223,1.0188846400479423,-0.009733384648056934,-0.03048855395811288,-0.006366916250043412,-0.027481898121962795,-0.031270648111759954,0.8620472184658854
hsa-mir-1911,-0.0004461411757188859,-0.02502186448226704,-0.0023307886643827787,-0.009733384648056934,1.2454810370980003,0.002738635258633029,0.011389608859787409,-0.0009051559782762432,0.052097627210048354,-0.010916844758789599
hsa-mir-1293,0.17386143802212894,0.07261340880201857,0.03408232117093742,-0.03048855395811288,0.002738635258633029,1.0763017392729117,-0.007851332826301455,0.025670859639670297,0.1464532097738657,-0.04267202139749177
hsa-mir-2114,-0.03471473459048811,0.0033716990844047923,0.08076356049923603,-0.006366916250043412,0.011389608859787409,-0.007851332826301455,1.166669581107498,0.07609986023224816,-0.037089794987736686,-0.02081661680339304
hsa-mir-509-3,-0.03142247090469167,0.02165487320468269,1.0855771150591738,-0.027481898121962795,-0.0009051559782762432,0.025670859639670297,0.07609986023224816,1.0938897349838381,0.11247164491870447,-0.025456002910735062
hsa-mir-3662,0.03176698437338519,0.00804516958715627,0.1159659849010601,-0.031270648111759954,0.052097627210048354,0.1464532097738657,-0.037089794987736686,0.11247164491870447,1.0376296863364833,-0.05099110140311484
hsa-mir-194-1,-0.015977789543094267,-0.04346493907967867,-0.02328942265367199,0.8620472184658854,-0.010916844758789599,-0.04267202139749177,-0.02081661680339304,-0.025456002910735062,-0.05099110140311484,0.932352547083953
