Feature,Importance
hsa-mir-23c,0.01599410573251008
hsa-mir-202,0.015567053916961799
hsa-mir-26a-1,0.014352040049320858
hsa-mir-1304,0.012037847439869272
hsa-mir-30b,0.01180137927130532
hsa-mir-26a-2,0.011088920301077316
hsa-mir-411,0.010557199118068556
hsa-mir-5690,0.010295890069680146
hsa-mir-299,0.00970961745453944
hsa-mir-329-2,0.008339990014718055
hsa-mir-195,0.008087835504529139
hsa-mir-378d-2,0.008009365014328385
hsa-mir-4728,0.0075735068176731365
hsa-mir-3662,0.007409972691409628
hsa-mir-381,0.006952699065189528
hsa-mir-509-1,0.006871179146170098
hsa-mir-504,0.006342051943191419
hsa-mir-3609,0.006292987225933282
hsa-mir-5090,0.005975143916308222
hsa-mir-4802,0.005947254730980697
hsa-mir-193b,0.00587956415730531
hsa-mir-3064,0.005820614871481912
hsa-mir-127,0.005813299739952947
hsa-mir-4434,0.005560208529447146
hsa-mir-6718,0.005380263301992818
hsa-mir-410,0.005276957093252671
hsa-mir-135a-2,0.0052698943841600785
hsa-mir-495,0.005185452755248527
hsa-mir-580,0.005007828140449667
hsa-mir-433,0.004851236776164811
hsa-mir-487b,0.004830798208256117
hsa-mir-497,0.00478537624074987
hsa-mir-335,0.0047833061041734825
hsa-mir-431,0.004645048400448973
hsa-mir-30d,0.004531690829502433
hsa-mir-5696,0.004410668077261854
hsa-mir-192,0.004408656773866616
hsa-mir-514a-1,0.004311947345716287
hsa-mir-551a,0.004241410408347775
hsa-mir-3909,0.0040732844786685
hsa-mir-4661,0.004058240472153572
hsa-mir-541,0.004030092889356962
hsa-mir-6507,0.004016465204405863
hsa-mir-654,0.003911930465921798
hsa-mir-346,0.00379529182864152
hsa-mir-199a-2,0.003767772268377846
hsa-mir-4454,0.0037663022329232367
hsa-mir-378a,0.003765071265885375
hsa-mir-432,0.0037367544001062135
hsa-mir-770,0.003706972715708639
hsa-mir-3655,0.003654171124168261
hsa-mir-375,0.0035798295975455743
hsa-mir-379,0.003465516253907485
hsa-mir-501,0.0032792399228301285
hsa-mir-514a-2,0.003272136121714947
hsa-mir-655,0.0031813283230240547
hsa-mir-200c,0.0031504121033825824
hsa-mir-520a,0.0030177358681732804
hsa-mir-185,0.0029493755487407583
hsa-mir-3065,0.0029448046173154102
hsa-mir-17,0.002931389304544721
hsa-mir-6808,0.002931161230453943
hsa-mir-217,0.002928470897823252
hsa-mir-6852,0.0028967801048094695
hsa-mir-548t,0.0028594282402199084
hsa-mir-615,0.002853419940130859
hsa-mir-199a-1,0.0027629071530077456
hsa-mir-133a-2,0.0027294979587857075
hsa-mir-32,0.0027246673843920616
hsa-mir-6509,0.002704983879500873
hsa-mir-4685,0.0026738606305569484
hsa-mir-6511b-1,0.0026626413723566176
hsa-mir-618,0.002644337911544694
hsa-mir-509-3,0.0026409024462664345
hsa-mir-514a-3,0.0026203432890212442
hsa-mir-628,0.0026129640133122746
hsa-mir-6850,0.00260869342989607
hsa-mir-6806,0.002586264870768942
hsa-mir-639,0.002578351481503967
hsa-mir-199b,0.00255416236641088
hsa-mir-3654,0.0025459196372642056
hsa-mir-508,0.0024743558315461454
hsa-mir-133a-1,0.002457198203337155
hsa-mir-139,0.002360264011899375
hsa-mir-376b,0.0023409591283943057
hsa-mir-4421,0.0023148518471032623
hsa-mir-376c,0.00230525688688144
hsa-mir-34c,0.002292865010584027
hsa-mir-29b-2,0.002287804823087907
hsa-mir-4999,0.002275641850374104
hsa-mir-3653,0.0022440567723546125
hsa-mir-125b-2,0.002220061962690541
hsa-mir-4521,0.0022170773130287527
hsa-mir-105-1,0.002216896562385614
hsa-mir-10a,0.0022059571797988916
hsa-mir-6879,0.002186886650079693
hsa-mir-6733,0.0021577769646867802
hsa-mir-552,0.002153425824767247
hsa-mir-616,0.002116957192066045
hsa-mir-1288,0.0021158027273269014
hsa-mir-365b,0.002112398619909079
