Feature,Coefficient
hsa-let-7c,-0.013285679494229053
hsa-let-7e,-0.012833571969256972
hsa-let-7g,-0.016805480560361952
hsa-mir-103a-2,0.0011675030166653584
hsa-mir-10a,0.04207746533515271
hsa-mir-1178,-0.02714648487057999
hsa-mir-1181,0.07956835885006296
hsa-mir-1184-2,0.013273297716018477
hsa-mir-1185-2,-0.01614018302395426
hsa-mir-1204,-0.018090009019075027
hsa-mir-1206,-0.02338971560569866
hsa-mir-1224,0.027392028252232622
hsa-mir-1229,0.024116571198826705
hsa-mir-1236,0.041272494316765745
hsa-mir-1237,-0.03155730257203167
hsa-mir-1238,0.038097585363663394
hsa-mir-1245a,0.02153762167614129
hsa-mir-1245b,0.0020878280601647294
hsa-mir-1247,-0.025244740943611815
hsa-mir-1252,-0.00816264881585292
hsa-mir-1253,0.011627119546956532
hsa-mir-1258,0.04573236012523279
hsa-mir-125b-2,-0.009323908153957595
hsa-mir-1268b,-0.016902479572541474
hsa-mir-1270,-0.04452298035112535
hsa-mir-1271,-0.013128538251808902
hsa-mir-1273a,-0.0001363889849526658
hsa-mir-1281,0.004322806118446882
hsa-mir-1286,-0.056657136883962796
hsa-mir-1288,-0.0032240541507464592
hsa-mir-1289-1,-0.03369620571233223
hsa-mir-1291,-0.002325784415200648
hsa-mir-1292,-0.022021968392525428
hsa-mir-1295a,-0.014424927008699599
hsa-mir-1299,0.02473555446268409
hsa-mir-1302-3,0.008548104726629584
hsa-mir-1305,0.03273392349591992
hsa-mir-133a-2,-0.005622498986780455
hsa-mir-135b,0.02556234936890602
hsa-mir-137,0.024005053804373618
hsa-mir-138-1,-0.01809891421163309
hsa-mir-140,-0.017150468524189007
hsa-mir-144,0.008990630573501466
hsa-mir-145,-0.001492490502984836
hsa-mir-148b,-0.020817084187997725
hsa-mir-151b,-0.027955262090808397
hsa-mir-153-1,-0.056439075019190654
hsa-mir-1587,-0.021401353809042123
hsa-mir-181b-1,0.01413628773360127
hsa-mir-181b-2,0.006454619232377827
hsa-mir-1825,0.08351363594809744
hsa-mir-1827,-0.022256003142194048
hsa-mir-185,0.06787467718014342
hsa-mir-187,0.06918155692555518
hsa-mir-188,0.006166649321413863
hsa-mir-190b,0.035650039501824916
hsa-mir-1912,-0.014101354380153428
hsa-mir-1913,-0.002554824481039955
hsa-mir-1914,0.02936355469760822
hsa-mir-193a,-0.016423166507328724
hsa-mir-196b,-0.002173005214243944
hsa-mir-1972-1,0.0012172244647081446
hsa-mir-199b,-0.03544558305305665
hsa-mir-200b,0.02069825741340675
hsa-mir-202,0.015631708823913733
hsa-mir-205,-0.02366379199771674
hsa-mir-2114,0.026948837614012563
hsa-mir-216b,-0.025570179136720744
hsa-mir-219a-1,-0.031837776634048756
hsa-mir-221,-0.008863774554984568
hsa-mir-2277,0.025994977582759975
hsa-mir-2278,0.02122987361429614
hsa-mir-2355,-0.00704213920407111
hsa-mir-2392,-0.0002318533082780932
hsa-mir-23b,0.023183457995057347
hsa-mir-2467,0.0223529469792972
hsa-mir-2682,0.0037476798345426345
hsa-mir-302c,-0.012505755726863233
hsa-mir-30d,-0.029833666940842832
hsa-mir-3115,-0.018478957409447074
hsa-mir-3116-2,0.05055117061484462
hsa-mir-3120,0.007213319712640316
hsa-mir-3121,-0.03915227143190545
hsa-mir-3125,0.055459931813406325
hsa-mir-3126,-0.09007639536654806
hsa-mir-3128,0.013256431471223922
hsa-mir-3130-1,0.011749996477272564
hsa-mir-3137,-0.023766463614749097
hsa-mir-3141,-0.01615084298928621
hsa-mir-3143,-0.04646921749314151
hsa-mir-3144,0.019873273656526476
hsa-mir-3146,0.042794997848619454
hsa-mir-3148,-0.007198563308336073
hsa-mir-3150a,-0.009924083333988176
hsa-mir-3150b,0.005999271863349916
hsa-mir-3156-2,-0.007939028390668987
hsa-mir-3158-1,-0.0022948381423009883
hsa-mir-3158-2,-0.002113364849827924
hsa-mir-3159,0.017572408388243643
hsa-mir-3162,-0.07091526824612358
hsa-mir-3165,-0.0014853974730023305
hsa-mir-3167,-0.0002570988638075345
hsa-mir-3169,-0.008821143298709802
hsa-mir-3171,-0.02557979623669805
hsa-mir-3174,0.012745422180287057
hsa-mir-3175,-0.014558917948175959
hsa-mir-3177,0.05441196260560202
hsa-mir-3178,0.005184614286578539
hsa-mir-3180-1,-0.005201047015565219
hsa-mir-3180-4,0.003593223928425991
hsa-mir-3180-5,-0.02953264681389064
hsa-mir-3182,0.004602472984278912
hsa-mir-3183,-0.031079702264452034
hsa-mir-3186,0.007128190527055215
hsa-mir-3187,-0.05302043988675561
hsa-mir-3197,0.007493617658907539
hsa-mir-3199-1,-0.011313283198422572
hsa-mir-32,-0.008175917807283902
hsa-mir-3202-2,-0.03163835934104862
hsa-mir-320b-1,-0.018896324977729435
hsa-mir-320c-1,0.04552487126468776
hsa-mir-320e,-0.019521331667275987
hsa-mir-330,0.03169547987893693
hsa-mir-338,-0.019828431035823692
hsa-mir-346,0.0500480855659498
hsa-mir-34b,-0.0006919539959336761
hsa-mir-3606,-0.0007873678012180695
hsa-mir-3614,0.01228303887150967
hsa-mir-3618,0.017411307564009628
hsa-mir-3619,0.02850863416566936
hsa-mir-3620,0.017175646352494137
hsa-mir-3622b,0.04927867697244925
hsa-mir-3646,-0.003232346568809416
hsa-mir-3653,-0.03721053169594523
hsa-mir-3657,0.004007464825748363
hsa-mir-3658,0.028149213736539298
hsa-mir-3660,0.02894096404185206
hsa-mir-3661,0.006407836839269187
hsa-mir-3664,-0.004369996378883379
hsa-mir-3665,0.03587473711805729
hsa-mir-3668,0.020217126112479132
hsa-mir-367,0.03423201354852604
hsa-mir-3675,-0.016775928273124536
hsa-mir-3678,0.0319622487502724
hsa-mir-3680-1,-0.04016129495841201
hsa-mir-3683,-0.02105339657442174
hsa-mir-3686,0.036955176745028
hsa-mir-3688-1,0.03773292936220037
hsa-mir-3688-2,0.008391391358416043
hsa-mir-3689a,-0.004798311475934597
hsa-mir-3689d-1,0.00981319444667162
hsa-mir-3692,0.0007910380579383334
hsa-mir-372,0.010677913900861
hsa-mir-373,0.025179419486245764
hsa-mir-378d-1,-0.001194676074638313
hsa-mir-378e,0.01581478325978802
hsa-mir-378g,0.0008365956089349838
hsa-mir-378i,0.004315020713708221
hsa-mir-381,-0.02850869875764796
hsa-mir-384,-0.0005090482980995196
hsa-mir-3907,-0.04800818825874964
hsa-mir-3909,0.010371823193918734
hsa-mir-3911,-0.026662931021127132
hsa-mir-3913-1,-0.012121470045338693
hsa-mir-3919,0.006246465769370642
hsa-mir-3920,0.017373836644548526
hsa-mir-3921,-0.019788099372376806
hsa-mir-3922,0.058777325038908534
hsa-mir-3926-1,-0.018167436024799893
hsa-mir-3926-2,0.018254104943544725
hsa-mir-3927,0.028138498131663088
hsa-mir-3934,0.01632586113412317
hsa-mir-3936,-0.0203378816972658
hsa-mir-3941,-0.03467090381315497
hsa-mir-3942,0.04866970489309864
hsa-mir-3960,0.019112880842372115
hsa-mir-3972,0.02445873588385117
hsa-mir-3973,0.005666878989725335
hsa-mir-3975,-0.005304825328194478
hsa-mir-425,-0.010154901616757207
hsa-mir-4260,-0.00536780882148573
hsa-mir-4263,-0.0004231349361918992
hsa-mir-4264,0.03308737080336597
hsa-mir-4271,-0.024115786464358867
hsa-mir-4276,0.0016500588942643
hsa-mir-4279,0.0049649181087696
hsa-mir-4280,-0.005678778857261128
hsa-mir-4284,-0.022159221072940688
hsa-mir-4308,-0.008250557303420095
hsa-mir-4310,0.02412586723993648
hsa-mir-4315-2,-0.031353230308783134
hsa-mir-4322,-0.015956391698148473
hsa-mir-4327,-0.005984335204713477
hsa-mir-4418,0.009690477803638894
hsa-mir-4420,0.04095934841954395
hsa-mir-4421,-0.027045636490950934
hsa-mir-4426,-0.015946242518751156
hsa-mir-4427,0.010240982286621755
hsa-mir-4429,-0.0034728778173158197
hsa-mir-4432,0.020760392495458885
hsa-mir-4434,-0.0005735098911834192
hsa-mir-4435-2,0.017641278792117285
hsa-mir-4436a,-0.027858656629520993
hsa-mir-4436b-1,-0.004047145864767619
hsa-mir-4439,-0.03968591943508715
hsa-mir-4440,0.03377243810153764
hsa-mir-4441,0.0010838047288254328
hsa-mir-4444-2,0.0200205965599013
hsa-mir-4448,0.03390137072469117
hsa-mir-4449,-0.027016454161772382
hsa-mir-4450,0.05368514413009155
hsa-mir-4451,0.017118812045816088
hsa-mir-4452,-0.020721413449016044
hsa-mir-4460,0.0263740809534509
hsa-mir-4462,0.031010534021852897
hsa-mir-4463,-0.012079414785649183
hsa-mir-4473,-0.018443635864600755
hsa-mir-4479,-0.02518226292070424
hsa-mir-4480,-0.0011181793745284666
hsa-mir-4484,0.012167036432062114
hsa-mir-4488,0.03532031137720094
hsa-mir-4491,0.03197453904869108
hsa-mir-4494,-0.00752839062368826
hsa-mir-4496,-0.005154561271534977
hsa-mir-4502,0.011556572775697717
hsa-mir-4503,-0.036458153320324094
hsa-mir-4504,-0.025942564338567647
hsa-mir-4506,0.054898291000992486
hsa-mir-4507,-0.017681320690641444
hsa-mir-4508,0.04599408844232645
hsa-mir-4510,-0.03186648414190517
hsa-mir-4512,0.040430965377696554
hsa-mir-4515,-0.08037556085728705
hsa-mir-4516,0.02564521587870895
hsa-mir-4517,-0.0030154992070911624
hsa-mir-4518,0.001966403383303734
hsa-mir-4519,-0.004404704095657677
hsa-mir-451b,0.05397320307933823
hsa-mir-4520-1,0.01183159464127799
hsa-mir-4523,-0.025193979761702238
hsa-mir-4530,-0.008934394685298183
hsa-mir-4536-1,0.015204161616899494
hsa-mir-4538,0.013534596919493463
hsa-mir-4539,-0.016337162440526944
hsa-mir-4632,-0.04797807134490396
hsa-mir-4641,0.011711892687457308
hsa-mir-4642,-0.023108003628107932
hsa-mir-4645,0.03492578224028506
hsa-mir-4649,-0.0402184762672135
hsa-mir-4655,0.008269764747653757
