,hsa-mir-10a,hsa-mir-202,hsa-mir-3678,hsa-mir-187,hsa-mir-5690,hsa-mir-1304,hsa-mir-34c,hsa-mir-3690-1,hsa-mir-5696,hsa-mir-1468
hsa-mir-10a,0.9640816585078136,-0.02808653596025773,-0.021190994973448677,0.05340260620802486,-0.05501786381715174,-0.007821356131672931,0.030498146546050535,-0.03176754815581034,-0.046837347333001364,0.0015891687420534185
hsa-mir-202,-0.02808653596025773,1.247473542182048,0.043099735135377897,-0.019746302098068144,0.03998034319544292,0.0695061845653556,-0.0013566414756748806,0.010009191767950835,-0.056142623563018475,0.023529427874950434
hsa-mir-3678,-0.021190994973448677,0.043099735135377897,0.9067361149773145,0.07050111200537203,0.03904431257003634,-0.015343602655133218,-0.004589303373350535,0.018923283000257245,0.006004747613719243,-0.018718436955417493
hsa-mir-187,0.05340260620802486,-0.019746302098068144,0.07050111200537203,1.092380641750066,-0.0015906283563733071,0.032138233465478935,0.05275823611395553,-0.02657432230935604,0.05645827690223281,0.02662556028292481
hsa-mir-5690,-0.05501786381715174,0.03998034319544292,0.03904431257003634,-0.0015906283563733071,0.9691887484085375,-0.02369006677900441,0.012413055307449275,0.03360055445993684,-0.041104239152795215,-0.0330066538874596
hsa-mir-1304,-0.007821356131672931,0.0695061845653556,-0.015343602655133218,0.032138233465478935,-0.02369006677900441,1.1754978660448565,-0.01838715389468153,0.004796657741180057,0.08788398012014036,-0.003108568392986337
hsa-mir-34c,0.030498146546050535,-0.0013566414756748806,-0.004589303373350535,0.05275823611395553,0.012413055307449275,-0.01838715389468153,0.435270569443087,0.005928292764863787,-0.03542990966362997,0.08322463356467472
hsa-mir-3690-1,-0.03176754815581034,0.010009191767950835,0.018923283000257245,-0.02657432230935604,0.03360055445993684,0.004796657741180057,0.005928292764863787,0.9133465405473402,-0.07457664029679466,0.006302383535146488
hsa-mir-5696,-0.046837347333001364,-0.056142623563018475,0.006004747613719243,0.05645827690223281,-0.041104239152795215,0.08788398012014036,-0.03542990966362997,-0.07457664029679466,0.9656748583071425,-0.06097431426332609
hsa-mir-1468,0.0015891687420534185,0.023529427874950434,-0.018718436955417493,0.02662556028292481,-0.0330066538874596,-0.003108568392986337,0.08322463356467472,0.006302383535146488,-0.06097431426332609,0.911083607037522
