,hsa-mir-10a,hsa-mir-202,hsa-mir-3678,hsa-mir-187,hsa-mir-5690,hsa-mir-1304,hsa-mir-34c,hsa-mir-3690-1,hsa-mir-5696,hsa-mir-1468
hsa-mir-10a,1.0,-0.02561094461888823,-0.022664909081149338,0.05203775409043586,-0.05691708267222563,-0.00734707085789306,0.04708004668652494,-0.03385392225955218,-0.04854225171649943,0.001695641306553065
hsa-mir-202,-0.02561094461888823,1.0,0.0405245753484841,-0.016915432545104327,0.036360233565067714,0.05739801256779794,-0.0018410677343208347,0.009377035156816645,-0.0511518764002685,0.022070723975288534
hsa-mir-3678,-0.022664909081149338,0.0405245753484841,1.0,0.07083836234284943,0.041649821273092955,-0.014861955747227273,-0.007305108297815465,0.02079400927452185,0.0064171004716661135,-0.020594440979171985
hsa-mir-187,0.05203775409043586,-0.016915432545104327,0.07083836234284943,1.0,-0.0015458862734793394,0.028361165953787734,0.07651095410443225,-0.02660464120597814,0.054969926905463255,0.026689020882856424
hsa-mir-5690,-0.05691708267222563,0.036360233565067714,0.041649821273092955,-0.0015458862734793394,1.0,-0.022194797173284306,0.01911150361056559,0.035712846578991764,-0.042488066647266384,-0.03512515109159148
hsa-mir-1304,-0.00734707085789306,0.05739801256779794,-0.014861955747227273,0.028361165953787734,-0.022194797173284306,1.0,-0.02570537457169594,0.004629243383262015,0.08248658661072501,-0.00300379567832496
hsa-mir-34c,0.04708004668652494,-0.0018410677343208347,-0.007305108297815465,0.07651095410443225,0.01911150361056559,-0.02570537457169594,1.0,0.009402258710728972,-0.05464808287447547,0.132157898336775
hsa-mir-3690-1,-0.03385392225955218,0.009377035156816645,0.02079400927452185,-0.02660464120597814,0.035712846578991764,0.004629243383262015,0.009402258710728972,1.0,-0.07940896910532286,0.006908884279850186
hsa-mir-5696,-0.04854225171649943,-0.0511518764002685,0.0064171004716661135,0.054969926905463255,-0.042488066647266384,0.08248658661072501,-0.05464808287447547,-0.07940896910532286,1.0,-0.06500583576203177
hsa-mir-1468,0.001695641306553065,0.022070723975288534,-0.020594440979171985,0.026689020882856424,-0.03512515109159148,-0.00300379567832496,0.132157898336775,0.006908884279850186,-0.06500583576203177,1.0
