,hsa-mir-202,hsa-mir-3065,hsa-mir-10a,hsa-mir-3678,hsa-mir-4999,hsa-mir-1304,hsa-mir-4802,hsa-mir-3690-1,hsa-mir-5690,hsa-mir-3654
hsa-mir-202,0.931101027100247,-0.0067257974942447896,-0.015464338191762989,0.023517228288787117,0.02344305089560318,0.07090664598927227,-0.013777442415436016,0.030793658872755626,0.0530840641588782,-0.022154364004176513
hsa-mir-3065,-0.0067257974942447896,0.9222093574777066,-0.03318883875626743,0.05821726234153388,-0.011886309382933353,-0.04013008642510055,-0.009395636546746827,0.00858541888955231,-0.032726318366185135,-0.03904915969311714
hsa-mir-10a,-0.015464338191762989,-0.03318883875626743,1.1297832505984478,0.03780824053070426,-0.08979789217638315,-0.0051450211821439835,-0.038300866785462885,-0.058186295567948944,-0.05563801757557643,-0.04360207318777626
hsa-mir-3678,0.023517228288787117,0.05821726234153388,0.03780824053070426,1.0763872367646263,0.1043072808692289,-0.009075471463492444,0.03220807849928648,0.06375213919442135,0.008409740293012655,0.07324962984125818
hsa-mir-4999,0.02344305089560318,-0.011886309382933353,-0.08979789217638315,0.1043072808692289,0.9717611626410849,-0.011366401769496532,-0.002118109190451391,0.02673723204937301,0.0026467633383497374,0.03526191284450224
hsa-mir-1304,0.07090664598927227,-0.04013008642510055,-0.0051450211821439835,-0.009075471463492444,-0.011366401769496532,1.1992887375692736,0.002522081386383481,0.012894071048919414,-0.002395727683522703,0.04603549256500769
hsa-mir-4802,-0.013777442415436016,-0.009395636546746827,-0.038300866785462885,0.03220807849928648,-0.002118109190451391,0.002522081386383481,0.9627235162889262,0.05032353758830824,0.04545739522553724,0.06792417056949611
hsa-mir-3690-1,0.030793658872755626,0.00858541888955231,-0.058186295567948944,0.06375213919442135,0.02673723204937301,0.012894071048919414,0.05032353758830824,0.9990415043475147,0.0173008790601385,0.019718364524362066
hsa-mir-5690,0.0530840641588782,-0.032726318366185135,-0.05563801757557643,0.008409740293012655,0.0026467633383497374,-0.002395727683522703,0.04545739522553724,0.0173008790601385,0.8718480504590572,-0.041180044296338036
hsa-mir-3654,-0.022154364004176513,-0.03904915969311714,-0.04360207318777626,0.07324962984125818,0.03526191284450224,0.04603549256500769,0.06792417056949611,0.019718364524362066,-0.041180044296338036,1.0988241132043162
