,hsa-mir-202,hsa-mir-10a,hsa-mir-1304,hsa-mir-5690,hsa-mir-3655,hsa-mir-548t,hsa-mir-4726,hsa-mir-4802,hsa-mir-5696,hsa-mir-548j
hsa-mir-202,1.2483614147910196,-0.02764685302018741,0.07151966990609801,0.03919895309393462,0.04430239892563843,-0.03645210293657052,-0.03826053099354118,-0.023908569405108687,-0.05735180245779447,-0.056448136711319014
hsa-mir-10a,-0.02764685302018741,0.9760853839099917,-0.05062737098889927,-0.06834613291675462,-0.0186277198317684,0.0032582118542640367,0.0036730592970527815,-0.027492523167674008,-0.058387379261346656,-0.06758254775039763
hsa-mir-1304,0.07151966990609801,-0.05062737098889927,1.1245688782072099,-0.019201454199957103,-0.04166605917687108,0.03882455736509516,-0.04083331635732842,0.010250645229739888,0.07602704432233244,0.07414742312892895
hsa-mir-5690,0.03919895309393462,-0.06834613291675462,-0.019201454199957103,1.0187526815227594,-0.00486495140072608,0.022950625481875295,0.03837083393520881,0.05005666427877402,-0.019224918197101475,0.08654776780277289
hsa-mir-3655,0.04430239892563843,-0.0186277198317684,-0.04166605917687108,-0.00486495140072608,0.9538297131561032,0.06341187479765963,0.036614763486908154,-0.046655384151944757,0.027076532025436154,0.02585830154152847
hsa-mir-548t,-0.03645210293657052,0.0032582118542640367,0.03882455736509516,0.022950625481875295,0.06341187479765963,0.9682389481336556,-0.030025205705493455,0.09096887926278559,0.028822164006358696,0.07950564567901641
hsa-mir-4726,-0.03826053099354118,0.0036730592970527815,-0.04083331635732842,0.03837083393520881,0.036614763486908154,-0.030025205705493455,1.032896466429406,0.027754902211989483,0.045323041658915264,-0.012723346286571718
hsa-mir-4802,-0.023908569405108687,-0.027492523167674008,0.010250645229739888,0.05005666427877402,-0.046655384151944757,0.09096887926278559,0.027754902211989483,0.9718165626258976,0.06999585539217765,0.09914783367004819
hsa-mir-5696,-0.05735180245779447,-0.058387379261346656,0.07602704432233244,-0.019224918197101475,0.027076532025436154,0.028822164006358696,0.045323041658915264,0.06999585539217765,1.0252529486582371,0.11218605451567944
hsa-mir-548j,-0.056448136711319014,-0.06758254775039763,0.07414742312892895,0.08654776780277289,0.02585830154152847,0.07950564567901641,-0.012723346286571718,0.09914783367004819,0.11218605451567944,0.9917102335367287
