,hsa-mir-5690,hsa-mir-6808,hsa-mir-4434,hsa-mir-193b,hsa-mir-378d-2,hsa-mir-4661,hsa-mir-3655,hsa-mir-19a,hsa-mir-425,hsa-mir-501
hsa-mir-5690,1.0187526815227594,0.058815066098555566,0.06026586603925265,0.05318303925453865,-0.0192193794375163,0.059287506437911246,-0.00486495140072608,0.07429179820764717,0.109598226853881,0.09493348726270989
hsa-mir-6808,0.058815066098555566,1.1664743017252452,-0.014170823821125332,0.09356863920515945,0.003472939257150301,0.059284020564509564,0.13278172069611902,-0.06996322058536905,0.010919391555234454,0.2960569427165061
hsa-mir-4434,0.06026586603925265,-0.014170823821125332,1.1054029701292063,-0.02384128910908214,0.051346624859801626,0.064594059269632,0.0746524482325494,-0.015063937825018229,0.015402493345110351,0.022712419822790514
hsa-mir-193b,0.05318303925453865,0.09356863920515945,-0.02384128910908214,0.9022011497496443,-0.0284850442257525,0.10390625477258957,0.032917387798203905,0.11902828476509356,0.1413035083896998,0.08668301742596837
hsa-mir-378d-2,-0.0192193794375163,0.003472939257150301,0.051346624859801626,-0.0284850442257525,0.8253840043561569,0.02929346374139471,0.06137635787949968,0.011421793194345456,-0.0029128613123362342,0.028755364710173148
hsa-mir-4661,0.059287506437911246,0.059284020564509564,0.064594059269632,0.10390625477258957,0.02929346374139471,1.0583637733087312,0.037298283413884074,0.18047848865844165,0.21188400711664446,0.26888010705040255
hsa-mir-3655,-0.00486495140072608,0.13278172069611902,0.0746524482325494,0.032917387798203905,0.06137635787949968,0.037298283413884074,0.9538297131561032,0.015234032595637534,-0.015189485330216473,0.054276202782368006
hsa-mir-19a,0.07429179820764717,-0.06996322058536905,-0.015063937825018229,0.11902828476509356,0.011421793194345456,0.18047848865844165,0.015234032595637534,0.8837601472763851,0.3589847218940689,0.14777169549582075
hsa-mir-425,0.109598226853881,0.010919391555234454,0.015402493345110351,0.1413035083896998,-0.0029128613123362342,0.21188400711664446,-0.015189485330216473,0.3589847218940689,1.0915682962094675,0.25083596870051816
hsa-mir-501,0.09493348726270989,0.2960569427165061,0.022712419822790514,0.08668301742596837,0.028755364710173148,0.26888010705040255,0.054276202782368006,0.14777169549582075,0.25083596870051816,0.9759944325114887
