Feature,Importance
hsa-mir-615,0.00927794739769579
hsa-mir-4792,0.007812195396690453
hsa-mir-3686,0.006657599036508428
hsa-mir-190b,0.006300626944983128
hsa-mir-132,0.006166327849620503
hsa-mir-34b,0.0059970571150627415
hsa-mir-3692,0.0059357693451802486
hsa-mir-6738,0.0057047781000118345
hsa-mir-374a,0.00565783545394443
hsa-mir-6863,0.005570821971640955
hsa-mir-378i,0.005504451487657936
hsa-mir-4697,0.00536500714766183
hsa-mir-6511b-1,0.005280996014134099
hsa-mir-6716,0.005119090394660669
hsa-mir-5187,0.005111313015316072
hsa-mir-3613,0.005108836372502748
hsa-mir-196a-2,0.005001723604648785
hsa-mir-10a,0.004956545886162348
hsa-mir-4728,0.004708688438394958
hsa-mir-23c,0.004670174044601707
hsa-mir-196a-1,0.00459000050565116
hsa-mir-2861,0.004385943082498427
hsa-mir-202,0.00432429009239308
hsa-mir-133a-1,0.004239471150619191
hsa-mir-26a-1,0.004186294762876451
hsa-mir-6764,0.0041740412880241435
hsa-mir-195,0.004112301581221159
hsa-mir-6501,0.004067452236762819
hsa-mir-30b,0.003878238436751646
hsa-mir-5690,0.0038571941766818722
hsa-mir-6812,0.0038510098663342017
hsa-mir-5691,0.0037589179891260437
hsa-mir-582,0.003726812413150653
hsa-mir-299,0.003574915122312031
hsa-mir-346,0.0035055278880386682
hsa-mir-34c,0.0035012247824682185
hsa-mir-3064,0.0034577869823533653
hsa-mir-5708,0.0033945224147549653
hsa-mir-3662,0.0032969435208461432
hsa-mir-6860,0.00324538271618896
hsa-mir-125b-2,0.0032268974062565478
hsa-mir-187,0.003143431262227539
hsa-mir-411,0.0031147433854883813
hsa-mir-532,0.003100766791831869
hsa-mir-6718,0.0030974367606492327
hsa-mir-133a-2,0.0030838811657166176
hsa-mir-3685,0.003072149662350475
hsa-mir-1304,0.003067090929219391
hsa-mir-642a,0.003047943219987539
hsa-mir-92b,0.002949380437611958
hsa-mir-26a-2,0.002934013264720599
hsa-mir-500b,0.0028994794089263537
hsa-mir-770,0.002899217380044103
hsa-mir-3620,0.002875788990538857
hsa-mir-181b-2,0.002774442699244269
hsa-mir-329-2,0.002739003123196722
hsa-mir-449b,0.002733966867154421
hsa-mir-3943,0.0027185762782090932
hsa-mir-6772,0.0026656852709985926
hsa-mir-6802,0.002659117156474536
hsa-mir-6511b-2,0.00253895339700711
hsa-let-7c,0.0025344054526801447
hsa-mir-410,0.0024820037969329207
hsa-mir-5001,0.002477212022647813
hsa-mir-5089,0.0024737938680725814
hsa-mir-3654,0.0023973687656747068
hsa-mir-125b-1,0.0023651847758117198
hsa-mir-4742,0.0023415894161266456
hsa-mir-217,0.002340331422888395
hsa-mir-185,0.0022959781229550487
hsa-mir-4420,0.0022786326140873453
hsa-mir-381,0.0022366573811190902
hsa-mir-378d-2,0.002210793771397336
hsa-mir-4661,0.0022034218049299887
hsa-mir-501,0.002199539591918544
hsa-mir-328,0.0021987802286841628
hsa-mir-6837,0.002165610060505276
hsa-mir-135a-2,0.0021626412515576418
hsa-mir-4802,0.002141374842641249
hsa-mir-6773,0.002137791408837672
hsa-mir-5090,0.0021361325958637314
hsa-mir-3187,0.002123575329025746
hsa-mir-628,0.002123186829930372
hsa-mir-3909,0.0021214352497551246
hsa-mir-192,0.0021114861687325354
hsa-mir-5696,0.002102068404277511
hsa-mir-139,0.0020951063464802458
hsa-mir-375,0.0020765747183386996
hsa-mir-335,0.002045048713649675
hsa-mir-514a-1,0.0020280134832614313
hsa-mir-6509,0.0020251551013466375
hsa-mir-6776,0.0020242508567466407
hsa-mir-3907,0.0020046083865048452
hsa-mir-6507,0.0019862156386263674
hsa-mir-127,0.001981456370670124
hsa-mir-6895,0.001980249254991679
hsa-mir-652,0.001976562474102015
hsa-mir-4434,0.0019551924439992424
hsa-mir-509-1,0.0019492276757450005
hsa-mir-200c,0.0019482508640983678
hsa-mir-6808,0.00193884971302399
hsa-mir-544b,0.0019265449348595508
hsa-mir-4776-1,0.0019254108052893335
hsa-mir-1229,0.00191601195658112
hsa-mir-664a,0.0018955008235068441
hsa-mir-495,0.0018465462207204377
hsa-mir-3609,0.001828240591787862
hsa-mir-7156,0.0018272672331690316
hsa-mir-432,0.001815570067365781
hsa-mir-3177,0.0018041256713856235
hsa-mir-580,0.0018001948023751314
hsa-mir-504,0.0017940288706820475
hsa-mir-449a,0.00178859958235434
hsa-mir-103a-2,0.0017859554847608028
hsa-mir-497,0.0017432878683983609
hsa-mir-425,0.0017376365509368956
hsa-mir-6834,0.0017194202044282058
hsa-mir-32,0.0016978241375451189
hsa-mir-1539,0.0016978199214770203
hsa-mir-181a-1,0.0016936887807901982
hsa-mir-433,0.0016559772159609654
hsa-mir-6893,0.0016536918010833445
hsa-mir-33b,0.0016503756488509306
hsa-mir-551a,0.001638025619890464
hsa-mir-29b-2,0.0016359777444422087
hsa-mir-3934,0.0016292063099869307
hsa-mir-378a,0.0016279898919911294
hsa-mir-6850,0.0016170894262686544
hsa-mir-487b,0.001614504969225113
hsa-mir-3065,0.0016125775241497603
hsa-mir-654,0.001607317895012662
